$GSM_CPUS,$GSM_NODES,$L1_dn,$L1_dp,$L1_r0n,$L1_r0p,$L1_v0n,$L1_v0p,$L1_vson,$L1_vsop,$Vc00,$Vc01,$Vc10,$Vt10
8,4,0.6306370523710549,0.6130008973355016,2.251999343336047,2.0332004424772396,39.55755442180333,41.968960595282105,10.712058626815665,11.483841954589229,-8.987531322399077,-8.740278008633526,-8.310708896525496,-22.815641827924594
8,4,0.6110476830953355,0.6477171645681807,2.1282580903029484,2.0845045641532294,39.43055253237984,41.93973391889415,10.769808661202692,10.764199689619124,-8.88682151072466,-10.144283492855557,-8.288980578475188,-23.148883044808656
8,4,0.6341066662264568,0.6204665586118341,2.157720428923094,2.0929038519732734,39.64799643437054,41.89236091992265,10.481442760989406,10.941452207212707,-8.787421573738001,-8.201056648129365,-8.318084773881958,-22.504927771435238
8,4,0.6258794588477098,0.6275253841558588,2.1577166892496495,2.0509498357291114,39.48534064153361,42.36738373537924,10.436975702328622,11.019290984108634,-8.865038193623176,-8.621837776173404,-8.38910060086559,-22.182395462992016
8,4,0.6303474189317338,0.6004963044600593,2.1540202068117082,2.104543060035823,39.8063007365496,42.59070238465875,10.591561903268584,11.045476737872493,-8.955829930592946,-9.81055001059119,-8.337919886086594,-24.114128062821546
8,4,0.6223805198366102,0.6512097166290849,2.164368772361995,2.0440978846445033,39.5723370321651,42.46499258561659,10.91878466367317,11.576562919889398,-8.907238644543844,-8.482975875102747,-8.268735244637922,-23.016424665164198
8,4,0.6278104668653026,0.6618381639493746,2.168584326558606,2.0799712556760834,39.74906427055004,42.27258548654717,10.244706491572225,10.672204147596908,-8.798460759430224,-9.101083797596978,-8.147276754958451,-21.69634763344175
8,4,0.6462631571887792,0.6243931729381036,2.0919452174479125,2.0945887576648876,39.75851749581363,41.78728181528632,10.625395779034932,10.209346013782211,-8.861893765490478,-7.654528361531887,-8.327981145639303,-24.449332521242063
8,4,0.6391234849675173,0.6467519198915261,2.175679111883837,2.090605119356849,39.527667615929374,42.13407258456924,10.533820345272837,11.339246470271066,-8.804896258077429,-8.522335118507446,-8.442811349151047,-21.75390143177391
8,4,0.5941436000135736,0.6557197625404885,2.1735396916844247,2.0742009345939936,39.329597756628466,42.16041260550204,10.963987340918809,10.878514818278761,-8.951434200582776,-9.102961269980108,-8.339062854202341,-21.78773046683183
8,4,0.6429551611176587,0.6177897479792487,2.124307615010723,2.1329999849011454,39.76582887636787,42.111207830587425,10.562670903121518,11.47514038124729,-8.930577725642397,-5.893849162693296,-8.509516310834622,-21.833216325298636
8,4,0.6538128688185552,0.6113620736333295,2.1208117561017708,2.072760901818256,39.374738694531125,42.311087551058655,10.86081013448037,11.220513080820705,-8.922857693110236,-10.04958914771071,-8.244316390197426,-20.27325200097071
8,4,0.6332476678621882,0.6307395290541689,2.2126242847809166,2.0579668671019005,39.86303519664426,42.18780102924555,10.45677880852229,10.84227044965775,-8.932183393372565,-8.991296605683713,-8.363851682636257,-22.210857349683423
8,4,0.6639805126048666,0.6211806786227767,2.133002664369878,2.0838390506918554,39.296851906476284,41.883190824435104,11.559653249399672,11.097935226871341,-8.898845367940226,-8.464235455645923,-8.444315705027792,-21.146404882494462
8,4,0.6422675712325927,0.6356635785542193,2.114185474664249,1.9950038095333156,39.846917945136326,42.27038519406247,10.6361621737985,10.696463156474643,-8.799531073776807,-10.386420323575248,-8.290333652408009,-22.091150891069475
8,4,0.6269100623409536,0.6212399938306464,2.1530285708152914,2.0642694080117105,39.76504219879715,41.7076117868826,10.623348318575145,10.845842024952908,-9.0083063503323,-10.35819630278791,-8.403823947878047,-22.719492189957798
8,4,0.6252074155885333,0.646739081796656,2.1284560591976294,2.0702442754937205,39.58462901823666,42.53622705470385,10.685209458844575,11.31225460978062,-8.908429846117617,-10.788401601271783,-8.276002368722198,-22.31415722326161
8,4,0.6035474534722228,0.6317308385549528,2.1797284435874715,2.0232651389644905,39.45300195834138,42.50454221549299,10.869134358289898,10.989062570646475,-8.918448533912041,-9.33707193124653,-8.246756457604867,-22.69280701250458
8,4,0.639560924172332,0.6207459382509553,2.1923609923809586,2.1068334290802335,39.35195865074257,42.57656710330612,10.542424545310457,10.86753701577145,-8.814780678450326,-8.379941969316162,-8.342703075569771,-21.667415199278416
8,4,0.6320796168925225,0.659135774029989,2.145817131759282,2.1114330845664795,39.54225685676087,42.109369631245926,10.646167660373179,10.151495800255333,-8.899454537443503,-9.163067870343033,-8.241368676747976,-23.519407240314973
8,4,0.6474818263299703,0.6901937956570421,2.1647027515057595,2.058715009621676,39.320199733081374,42.19572410431157,10.506583106694926,11.252547388010543,-8.846489276492955,-10.271790892617569,-8.30227213298259,-21.224851763776613
8,4,0.6319800769310042,0.6259112406403524,2.252227255314113,2.137552409967148,39.689201196786684,42.46645642103547,10.890545845174387,10.58592021962828,-8.965636235078062,-11.37284299248175,-8.348919399694694,-22.57754571756948
8,4,0.6061286841808224,0.672851521720462,2.1730424192858595,1.9993352946083498,39.01354410719392,42.76512001130671,10.288640760862704,11.279502706110286,-8.950503823347116,-9.354554838849563,-8.313473166272287,-23.344194818633902
8,4,0.6308251188849839,0.617517905034309,2.1490486790451726,2.056283827204138,39.30906462053415,41.96607958632507,10.747638057410256,11.265573419871226,-8.813616180006838,-11.352742128003534,-8.295072358825426,-23.405717245910548
8,4,0.6173644988293758,0.6386725396950692,2.072464907080609,1.9739665754799125,39.35037670394182,41.87938349289867,10.486965655549314,10.843082545168343,-9.048802785887498,-9.068033592949481,-8.302079552902228,-20.299536067886695
8,4,0.5933898556850615,0.6287155623351546,2.18570459010965,2.0098542262187253,39.735124970587435,42.33763734207007,10.786647642949578,10.327987007341864,-8.795968838619867,-9.693062371699353,-8.32667886652194,-21.600839668943728
8,4,0.6522430477202849,0.6069687707549349,2.119444883777554,2.0264293402121587,39.724051610294765,41.723071810899285,10.812589591808281,10.728225424893324,-8.885235201443955,-10.881188147457994,-8.249292452614437,-21.37057480062414
8,4,0.637994077334505,0.6307909934504403,2.162419094791726,2.075596206944697,39.68048374291957,42.59662400060507,10.850811773734309,10.719097043961224,-9.005660944299898,-10.20765678623135,-8.401574500035998,-22.37867348543575
8,4,0.6478072467339604,0.6423051287123549,2.2283215099309603,2.0604261185232824,39.55849381988276,41.67187885580434,10.69151837016566,11.609007637843952,-9.022296730470933,-9.057225391012086,-8.325196388405109,-22.459402809516497
8,4,0.6321032462413008,0.6516251931230858,2.1257460004368447,2.0495161565189584,39.59706997003817,41.86192486627881,10.666355500593566,12.136853851218195,-8.981067627069478,-8.712580770132249,-8.30715536873,-21.910276668294284
8,4,0.6138777420334597,0.6477087855482165,2.1240661979594933,2.0683647719433305,39.545447786761905,41.647411708982375,10.46458420044226,11.346064855857469,-8.861693889368016,-7.762484496859276,-8.380909446429957,-23.50683913651657
8,4,0.6056020167226009,0.6242206365003029,2.2054060222730785,2.054179518095916,39.642880674726,41.17478913435558,10.545904705392902,11.862169710325134,-8.820823405026596,-7.854926280766137,-8.104897076586418,-22.91541158777469
8,4,0.6497585843919563,0.6328519685016937,2.085900571013404,2.0605666765614363,39.44869324140082,41.71817176102556,10.364733052491937,10.475425483603924,-8.873746279041624,-10.054072293013022,-8.360429183737372,-22.647080019844946
8,4,0.6606787858013929,0.6546900247126975,2.1405161974178593,2.0106368358130204,39.53053279009801,41.55744973130177,10.933707822441027,10.770216929925574,-8.922431279216326,-10.775959140655605,-8.401712828762324,-21.892731014310304
8,4,0.6393061239930022,0.6391047621609637,2.158650912603127,2.037557893752183,39.701564158338115,42.500681766435584,10.628386409457297,10.721408105803388,-8.921487700914591,-9.808256017738934,-8.202986373319343,-22.760070310536648
